code,name,routes,direction,link,id,"Latitude,Longitude"
203743	,BATTERY RD/TENNESSEE RD,"S51, S81",W,https://bustime.mta.info/m/index?q=203743,MTA_203743,"40.600388, -74.059641"
203744	,NEW YORK AV/MARSHALL RD,"S51, S81",SE,https://bustime.mta.info/m/index?q=203744,MTA_203744,"40.602646, -74.057846"
203965	,FATHER CAPODANNO BLVD/WENTWORTH AV,"S51, S52, S81",SW,https://bustime.mta.info/m/index?q=203965,MTA_203965,"40.588357, -74.068825"
905103	,LINCOLN AV/RICHMOND RD,"S51, S81",NW,https://bustime.mta.info/m/index?q=905103,MTA_905103,"40.580952, -74.111446"
104241	,MORRIS PARK AV/WILLIAMSBRIDGE RD,BXM10,SW,https://bustime.mta.info/m/index?q=104241,MTA_104241,"40.85033, -73.851583"
150146	,EASTCHESTER RD/TILLOTSON AV,BXM10,SE,https://bustime.mta.info/m/index?q=150146,MTA_150146,"40.876266, -73.846072"
450046	,5 AV/W 51 ST,"BXM6, BXM7, BXM8, BXM9, BXM10",SW,https://bustime.mta.info/m/index?q=450046,MTA_450046,"40.759315, -73.976742"
450082	,MADISON AV/E 23 ST,"BXM6, BXM7, BXM8, BXM9, BXM10",NE,https://bustime.mta.info/m/index?q=450082,MTA_450082,"40.741173, -73.987686"
450083	,MADISON AV/E 24 ST,BXM10,NE,https://bustime.mta.info/m/index?q=450083,MTA_450083,"40.741405, -73.987516"
450093	,MADISON AV/E 37 ST,BXM10,NE,https://bustime.mta.info/m/index?q=450093,MTA_450093,"40.749401, -73.98165"
450097	,MADISON AV/E 44 ST,"BXM7, BXM8, BXM10",NE,https://bustime.mta.info/m/index?q=450097,MTA_450097,"40.754032, -73.9783"
450104	,MADISON AV/E 52 ST,"BXM8, BXM10",NE,https://bustime.mta.info/m/index?q=450104,MTA_450104,"40.75885, -73.97471"
450109	,MADISON AV/E 60 ST,"BXM8, BXM10",NE,https://bustime.mta.info/m/index?q=450109,MTA_450109,"40.764005, -73.97096"
450409	,3 AV/E 120 ST,"BXM6, BXM7, BXM8, BXM9, BXM10",NE,https://bustime.mta.info/m/index?q=450409,MTA_450409,"40.800675, -73.937943"
450413	,MADISON AV/71 ST,"BXM6, BXM7, BXM8, BXM9, BXM10",NE,https://bustime.mta.info/m/index?q=450413,MTA_450413,"40.771024, -73.965917"
450451	,2 AV/E 121 ST,"BXM6, BXM7, BXM8, BXM9, BXM10",SW,https://bustime.mta.info/m/index?q=450451,MTA_450451,"40.800382, -73.935453"
981049	,3 AV/E 87 ST,"BXM1, BXM6, BXM9, BXM10",NE,https://bustime.mta.info/m/index?q=981049,MTA_981049,"40.779558, -73.953335"
984071	,MORRIS PARK AV/1300 MORRIS PARK AV,BXM10,E,https://bustime.mta.info/m/index?q=984071,MTA_984071,"40.851023, -73.845688"
100273	,SOUTHERN BLVD/WESTCHESTER AV,"BX5, BX19",S,https://bustime.mta.info/m/index?q=100273,MTA_100273,"40.82437, -73.891944"
100276	,STORY AV/COLGATE AV,BX5,E,https://bustime.mta.info/m/index?q=100276,MTA_100276,"40.82128, -73.879856"
100277	,STORY AV/ELDER AV,BX5,E,https://bustime.mta.info/m/index?q=100277,MTA_100277,"40.821595, -73.877734"
100278	,STORY AV/BOYNTON AV,BX5,E,https://bustime.mta.info/m/index?q=100278,MTA_100278,"40.821789, -73.876062"
100279	,STORY AV/MORRISON AV,BX5,E,https://bustime.mta.info/m/index?q=100279,MTA_100279,"40.822192, -73.873098"
100280	,STORY AV/METCALF AV,BX5,E,https://bustime.mta.info/m/index?q=100280,MTA_100280,"40.822549, -73.870532"
100281	,STORY AV/NOBLE AV,BX5,E,https://bustime.mta.info/m/index?q=100281,MTA_100281,"40.82284, -73.868299"
100282	,STORY AV/ROSEDALE AV,BX5,E,https://bustime.mta.info/m/index?q=100282,MTA_100282,"40.823091, -73.866506"
100284	,STORY AV/THIERIOT AV,BX5,E,https://bustime.mta.info/m/index?q=100284,MTA_100284,"40.823673, -73.862104"
