code,link,direction,id,locationType,"Latitude,Longitude",name,routeIds,bus names,wheelchairBoarding
'400359',https://bustime.mta.info/m/index?q=400359,NE,MTA_400359,0,"40.756492, -73.976474",MADISON AV/E 47 ST,"['MTA NYCT_SIM6', 'MTA NYCT_SIM8', 'MTA NYCT_SIM8X', 'MTA NYCT_SIM11', 'MTA NYCT_SIM22', 'MTA NYCT_SIM31']","['SIM6', 'SIM8', 'SIM8X', 'SIM11', 'SIM22', 'SIM31']",UNKNOWN
'401833',https://bustime.mta.info/m/index?q=401833,SE,MTA_401833,0,"40.736691, -73.978245",E 23 ST/1 AV,"['MTA NYCT_M23+', 'MTA NYCT_M34A+', 'MTA NYCT_M34+', 'MTA NYCT_SIM3', 'MTA NYCT_SIM6', 'MTA NYCT_SIM10', 'MTA NYCT_SIM11', 'MTA NYCT_SIM31']","['M23+', 'M34A+', 'M34+', 'SIM3', 'SIM6', 'SIM10', 'SIM11', 'SIM31']",UNKNOWN
'402130',https://bustime.mta.info/m/index?q=402130,SE,MTA_402130,0,"40.741142, -73.98879",E 23 ST/BROADWAY,"['MTA NYCT_M23+', 'MTA NYCT_SIM4C', 'MTA NYCT_SIM10', 'MTA NYCT_SIM31', 'MTA NYCT_SIM33C', 'MTA NYCT_X27', 'MTA NYCT_X28', 'MTA NYCT_X37', 'MTA NYCT_X38', 'MTA NYCT_X63', 'MTA NYCT_X64', 'MTA NYCT_X68']","['M23+', 'SIM4C', 'SIM10', 'SIM31', 'SIM33C', 'X27', 'X28', 'X37', 'X38', 'X63', 'X64', 'X68']",UNKNOWN
'402132',https://bustime.mta.info/m/index?q=402132,E,MTA_402132,0,"40.739922, -73.985994",E 23 ST/PARK AV SOUTH,"['MTABC_BM1', 'MTABC_BM2', 'MTABC_BM3', 'MTABC_BM4', 'MTA NYCT_M23+', 'MTA NYCT_SIM3', 'MTA NYCT_SIM10', 'MTA NYCT_SIM31', 'MTA NYCT_X37', 'MTA NYCT_X38']","['BM1', 'BM2', 'BM3', 'BM4', 'M23+', 'SIM3', 'SIM10', 'SIM31', 'X37', 'X38']",UNKNOWN
'402134',https://bustime.mta.info/m/index?q=402134,SE,MTA_402134,0,"40.738589, -73.982755",E 23 ST/3 AV,"['MTABC_BM1', 'MTABC_BM2', 'MTABC_BM3', 'MTABC_BM4', 'MTA NYCT_M23+', 'MTA NYCT_SIM3', 'MTA NYCT_SIM6', 'MTA NYCT_SIM10', 'MTA NYCT_SIM11', 'MTA NYCT_SIM31', 'MTA NYCT_X37', 'MTA NYCT_X38', 'MTA NYCT_X63', 'MTA NYCT_X64']","['BM1', 'BM2', 'BM3', 'BM4', 'M23+', 'SIM3', 'SIM6', 'SIM10', 'SIM11', 'SIM31', 'X37', 'X38', 'X63', 'X64']",UNKNOWN
'402135',https://bustime.mta.info/m/index?q=402135,SE,MTA_402135,0,"40.737682, -73.980586",E 23 ST/2 AV,"['MTABC_BM1', 'MTABC_BM2', 'MTABC_BM3', 'MTABC_BM4', 'MTA NYCT_SIM3', 'MTA NYCT_SIM6', 'MTA NYCT_SIM10', 'MTA NYCT_SIM11', 'MTA NYCT_SIM31']","['BM1', 'BM2', 'BM3', 'BM4', 'SIM3', 'SIM6', 'SIM10', 'SIM11', 'SIM31']",UNKNOWN
'402143',https://bustime.mta.info/m/index?q=402143,NW,MTA_402143,0,"40.737297, -73.97936",E 23 ST/1 AV,"['MTABC_BM1', 'MTABC_BM2', 'MTABC_BM3', 'MTABC_BM4', 'MTA NYCT_M23+', 'MTA NYCT_SIM3', 'MTA NYCT_SIM6', 'MTA NYCT_SIM10', 'MTA NYCT_SIM11', 'MTA NYCT_SIM31', 'MTA NYCT_X37', 'MTA NYCT_X38', 'MTA NYCT_X63', 'MTA NYCT_X64', 'MTA NYCT_X68']","['BM1', 'BM2', 'BM3', 'BM4', 'M23+', 'SIM3', 'SIM6', 'SIM10', 'SIM11', 'SIM31', 'X37', 'X38', 'X63', 'X64', 'X68']",UNKNOWN
'402144',https://bustime.mta.info/m/index?q=402144,W,MTA_402144,0,"40.738311, -73.981712",E 23 ST/2 AV,"['MTA NYCT_M23+', 'MTA NYCT_SIM3', 'MTA NYCT_SIM6', 'MTA NYCT_SIM10', 'MTA NYCT_SIM11', 'MTA NYCT_SIM31']","['M23+', 'SIM3', 'SIM6', 'SIM10', 'SIM11', 'SIM31']",UNKNOWN
'402145',https://bustime.mta.info/m/index?q=402145,NW,MTA_402145,0,"40.739027, -73.983456",E 23 ST/3 AV,"['MTABC_BM1', 'MTABC_BM2', 'MTABC_BM3', 'MTABC_BM4', 'MTA NYCT_M23+', 'MTA NYCT_SIM3', 'MTA NYCT_SIM6', 'MTA NYCT_SIM10', 'MTA NYCT_SIM11', 'MTA NYCT_SIM31', 'MTA NYCT_X37', 'MTA NYCT_X38']","['BM1', 'BM2', 'BM3', 'BM4', 'M23+', 'SIM3', 'SIM6', 'SIM10', 'SIM11', 'SIM31', 'X37', 'X38']",UNKNOWN
'402214',https://bustime.mta.info/m/index?q=402214,SE,MTA_402214,0,"40.760727, -73.968725",E 57 ST/LEXINGTON AV,"['MTA NYCT_M31', 'MTA NYCT_M57', 'MTA NYCT_SIM6', 'MTA NYCT_SIM8', 'MTA NYCT_SIM8X', 'MTA NYCT_SIM11', 'MTA NYCT_SIM22', 'MTA NYCT_SIM25', 'MTA NYCT_SIM26', 'MTA NYCT_SIM31', 'MTA NYCT_X63', 'MTA NYCT_X64', 'MTA NYCT_X68']","['M31', 'M57', 'SIM6', 'SIM8', 'SIM8X', 'SIM11', 'SIM22', 'SIM25', 'SIM26', 'SIM31', 'X63', 'X64', 'X68']",UNKNOWN
